id,season,city,date,team_1,team_2,toss_winner,toss_decision,winner,player_of_match,umpire1,umpire2,umpire3
637,2018,Mumbai,00-01-1900,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings, ,,,
638,2018,Chandigarh,00-01-1900,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,Kings XI Punjab, ,,,
639,2018,Kolkata,00-01-1900,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders, ,,,
640,2018,Hyderabad,00-01-1900,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Sunrisers Hyderabad, ,,,
641,2018,Chennai,00-01-1900,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings, ,,,
642,2018,Jaipur,00-01-1900,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals, ,,,
643,2018,Hyderabad,00-01-1900,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad, ,,,
644,2018,Bengaluru,00-01-1900,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,Royal Challengers Bangalore, ,,,
645,2018,Mumbai,00-01-1900,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils, ,,,
646,2018,Kolkata,00-01-1900,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad, ,,,
647,2018,Bengaluru,00-01-1900,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals, ,,,
648,2018,Chandigarh,00-01-1900,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab, ,,,
649,2018,Kolkata,00-01-1900,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Kolkata Knight Riders, ,,,
650,2018,Mumbai,00-01-1900,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians, ,,,
651,2018,Jaipur,00-01-1900,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders, ,,,
652,2018,Chandigarh,00-01-1900,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Kings XI Punjab, ,,,
653,2018,Pune,00-01-1900,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings, ,,,
654,2018,Kolkata,00-01-1900,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab, ,,,
655,2018,Bengaluru,00-01-1900,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,field,Royal Challengers Bangalore, ,,,
656,2018,Hyderabad,00-01-1900,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings, ,,,
657,2018,Jaipur,00-01-1900,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Rajasthan Royals, ,,,
658,2018,Delhi,00-01-1900,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Kings XI Punjab, ,,,
659,2018,Mumbai,00-01-1900,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad, ,,,
660,2018,Bengaluru,00-01-1900,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings, ,,,
661,2018,Hyderabad,00-01-1900,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad, ,,,
662,2018,Delhi,00-01-1900,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Daredevils, ,,,
663,2018,Pune,00-01-1900,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians, ,,,
664,2018,Jaipur,00-01-1900,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad, ,,,
665,2018,Bengaluru,00-01-1900,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders, ,,,
666,2018,Pune,00-01-1900,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings, ,,,
667,2018,Bengaluru,00-01-1900,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore, ,,,
668,2018,Delhi,00-01-1900,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Delhi Daredevils, ,,,
669,2018,Kolkata,00-01-1900,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders, ,,,
670,2018,Indore,00-01-1900,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians, ,,,
671,2018,Pune,00-01-1900,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings, ,,,
672,2018,Hyderabad,00-01-1900,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,bat,Sunrisers Hyderabad, ,,,
673,2018,Mumbai,00-01-1900,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians, ,,,
674,2018,Indore,00-01-1900,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Kings XI Punjab, ,,,
675,2018,Hyderabad,00-01-1900,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad, ,,,
676,2018,Jaipur,00-01-1900,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals, ,,,
677,2018,Kolkata,00-01-1900,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians, ,,,
678,2018,Delhi,00-01-1900,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad, ,,,
679,2018,Jaipur,00-01-1900,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals, ,,,
680,2018,Indore,00-01-1900,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,field,Kolkata Knight Riders, ,,,
681,2018,Delhi,00-01-1900,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore, ,,,
682,2018,Pune,00-01-1900,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings, ,,,
683,2018,Mumbai,00-01-1900,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals, ,,,
684,2018,Indore,00-01-1900,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore, ,,,
685,2018,Kolkata,00-01-1900,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders, ,,,
686,2018,Mumbai,00-01-1900,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians, ,,,
687,2018,Bengaluru,00-01-1900,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore, ,,,
688,2018,Delhi,00-01-1900,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Delhi Daredevils, ,,,
689,2018,Jaipur,00-01-1900,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals, ,,,
690,2018,Hyderabad,00-01-1900,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders, ,,,
691,2018,Delhi,00-01-1900,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Delhi Daredevils, ,,,
692,2018,Pune,00-01-1900,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,Chennai Super Kings, ,,,
693,2018,Mumbai,00-01-1900,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings, ,,,
694,2018,Kolkata,00-01-1900,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders, ,,,
695,2018,Kolkata,00-01-1900,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad, ,,,
696,2018,Mumbai,00-01-1900,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings, ,,,
697,2019,Chennai,00-01-1900,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings, ,,,
698,2019,Kolkata,00-01-1900,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders, ,,,
699,2019,Mumbai,00-01-1900,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Delhi Capitals, ,,,
700,2019,Jaipur,00-01-1900,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,field,Kings XI Punjab, ,,,
701,2019,Delhi,00-01-1900,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings, ,,,
702,2019,Kolkata,00-01-1900,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders, ,,,
703,2019,Bengaluru,00-01-1900,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians, ,,,
704,2019,Hyderabad,00-01-1900,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad, ,,,
705,2019,Chandigarh,00-01-1900,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,field,Kings XI Punjab, ,,,
706,2019,Delhi,00-01-1900,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,, ,,,
707,2019,Hyderabad,00-01-1900,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad, ,,,
708,2019,Chennai,00-01-1900,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings, ,,,
709,2019,Chandigarh,00-01-1900,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab, ,,,
710,2019,Jaipur,00-01-1900,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals, ,,,
711,2019,Mumbai,00-01-1900,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians, ,,,
712,2019,Delhi,00-01-1900,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad, ,,,
713,2019,Bengaluru,00-01-1900,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders, ,,,
714,2019,Chennai,00-01-1900,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings, ,,,
715,2019,Hyderabad,00-01-1900,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians, ,,,
716,2019,Bengaluru,00-01-1900,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals, ,,,
717,2019,Jaipur,00-01-1900,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders, ,,,
718,2019,Chandigarh,00-01-1900,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Kings XI Punjab, ,,,
719,2019,Chennai,00-01-1900,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings, ,,,
720,2019,Mumbai,00-01-1900,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians, ,,,
721,2019,Jaipur,00-01-1900,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings, ,,,
722,2019,Kolkata,00-01-1900,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals, ,,,
